RATING,RETENTION_FLAG
5,0
4,0
5,0
5,0
5,0
5,1
5,0
5,0
5,0
5,0
5,0
5,0
5,0
5,0
5,0
5,1
5,0
5,0
5,0
5,0
5,0
4,0
5,1
5,0
5,0
5,0
5,0
5,0
5,0
4,0
5,1
5,0
5,0
5,0
5,0
5,0
5,1
5,0
5,0
5,0
5,0
5,0
5,0
5,0
5,0
5,0
5,0
5,0
1,0
1,0
5,0
5,1
5,0
5,0
5,0
5,0
5,0
5,1
5,0
5,0
5,0
5,0
5,0
5,0
5,0
5,0
5,1
5,0
5,0
5,0
5,1
5,0
5,0
5,1
1,1
5,0
5,1
5,0
5,0
5,0
5,0
5,1
5,0
5,0
5,1
3,0
5,0
5,0
5,0
5,0
5,0
5,0
5,0
5,0
5,1
5,0
5,0
3,0
4,0
5,0
4,0
5,1
5,0
5,0
5,0
5,1
5,0
5,0
5,1
5,0
5,1
5,1
2,0
5,0
5,0
5,0
5,1
5,1
5,0
5,1
4,0
5,0
5,0
5,0
5,1
5,0
5,0
5,0
4,0
5,0
5,0
5,0
5,0
5,1
5,0
5,0
5,0
5,0
5,0
5,0
5,0
5,0
1,0
5,0
5,0
5,1
5,0
5,0
5,0
5,0
5,0
5,0
4,0
5,0
5,1
5,0
5,1
5,0
5,0
5,1
5,0
5,0
5,0
5,1
4,1
5,0
4,0
5,0
1,1
5,0
5,1
5,0
4,1
3,0
5,0
5,0
5,0
5,0
3,0
5,0
5,0
5,0
5,0
5,0
5,0
5,0
5,0
5,0
5,0
5,0
5,0
5,0
5,0
5,0
5,1
5,1
5,1
4,0
5,0
5,1
5,0
5,0
5,0
3,0
5,1
5,0
5,1
5,0
5,1
5,0
5,1
5,0
5,0
5,0
5,0
5,0
5,1
5,0
5,1
5,0
5,1
5,1
5,0
5,0
5,0
5,0
5,0
5,0
5,1
5,0
5,0
5,0
5,1
5,0
4,0
5,0
5,1
5,0
5,0
5,0
5,1
5,0
5,0
5,0
5,0
5,1
5,0
5,0
4,0
5,0
